1516010081644531715,ミックスダウンやり直しにつき<n>本日も無し。<n><n>徹頭徹尾無し！
1515637308430581761,ミックスダウン闌につき<n>本日も無し。<n><n>全身全霊で無し。
1515268316985659392,レコーディング闌につき、本日のTWは無し。
1514952263587966977,鈴木さん、次は私が一本取りますからね。<n><n>またこんど！
1514951905750904841,それからまた１０年？（以上？）。今監督の追悼イベントの会場で、大勢の人が居る中、突然「平沢さん」と言って肩をたたかれました。鈴木さんです。<n><n>またやられた！<n><n>平沢めといたしましてはそれまで会場に鈴木さんが居るのを知りませんでした。<n><n>あ、こんな時間！
1514950238426992646,その時鈴木さんは開口一番「平沢さん」と名前を呼んでくださいました。P-MODELはまだ広く名前が知られていない頃にです。<n><n>その後お付き合いがあったわけではないのですが、10年後くらい某シンガーの誕生パーティーで鈴木さんは歌いながら客席に私を見つけその場で会釈されました。しまった！まただ。
1514949089854582786,鈴木慶一さんのほうが私よりもキャリアは長いわけですから、もしイベントなどでご一緒させていただくなら私のほうからご挨拶に伺うべきです。<n><n>ところが初めて学際のイベントでお会いした時には鈴木さんのほからご挨拶いただいてしまい恐縮しました。<n><n>P-MODELはデビューしたてです。
1514948015911407616,せっかくですからお詫びのしるしといっては何ですが、鈴木慶一さんとのエピソードについて話したいと思います。
1514946487343476741,鈴木慶一さんはその時代にミュージシャンがJava Scriptに興味を持つことの意味を良く理解されていたはずです。もしヒラサワが先に答えていたら鈴木さんとてもっとひねった回答をなさったと確信しています。<n><n>鈴木さんごめんなさい。
1514945278343745543,鈴木慶一さんは確かローランドのセンサー付きシンセのようなものをあげでいらした。<n><n>「では、平沢さんは？」<n><n>ときかれて<n><n>「Java script」と答えた時、鈴木さんは「わ！オマエずるい！」と言わんばかりの目で私を見ました。
1514943892537311236,鈴木慶一さんです。<n><n>対談が一段落して編集者がこう言った<n><n>「最後にお二人が現在最も興味のあるものを教えてください」<n><n>ステルスは「鈴木さんからどうぞ」と言った。
1514942840190627844,腐っている時にインターネットの可能性に飛びついた。<n><n>そんな時、ある音楽関係誌から、あるミュージシャンの方との対談に呼ばれた。
1514941417239433221,興味を持てたミュージシャンたちは何かに淘汰されてしまい徐々に姿が見えなくなった。<n><n>ライブハウスには客席にもステージにも音楽ファンがいるだけでミュージシャンが居ない。<n><n>きっぱり音楽など聴かなくなった。街にも出なくなった。<n><n>そして今に至る。
1514940138257743876,80年代中頃、ステルスは突然シラケた。<n><n>TVは操作不能の類の人々をバカにし始め、都市は巨大ショッピングモールと化し、文化ファンに溢れた文化空洞があり、音楽ファンに溢れた音楽空洞が生じていた。<n><n>もう、面白いものは外には無い。<n><n>そう思い始めた。
1514938845703262209,首を垂れた時に迎える朝とその希望よ。<n><n>首をもたげれば知らない人ばかり。<n><n>世界は半世紀以上も前からそうなっている。
1514937582206930945,毎日日の出とともにテスラ放電をかまして柏手を打ち、宇宙の幸福を脅かす従順な僕たちのお目覚めを願い一礼する。<n><n>首を垂れた時に全身に満ちた希望。そして首をもたげる時の心の叫び「無理」。
1514936584772075524,21ッターは面白くなるのだろうか？<n><n>ややワクワクしつつ、いつもの様にポーカーフェイスで暮らす。<n><n>それとも自爆してがん細胞をまき散らし多くの従順な人々をどぎまぎさせてくれるのだろうか。<n><n>そろそろ着陸態勢なのか？そう願いたいが期待せず、いつものようにポーカーフェイスで暮らす。
1514589527209250820,そのような境遇に耐えてこそ東京ガーデンシアターのステージに立てるのだ。<n><n>あ、名前思い出した。。。。<n><n>またこんど！！
1514588829348294658,にも関わらず鎮西さんが洗面所からシャカシャカシャカという音をさせるので、あ、新しい歯ブラシかな？と思って行ってみると鎮西さんは洗面所でマラカスを振っていた。
1514587718960893953,女子の楽屋にはメイクさんが居てレプロナイザーを使って髪を整えてもらえるが、男子チームは鎮西さんが使った後の歯ブラシで髪をとかせとと言われる。
